Date of initial application by author,Submitted by,University department,PubMed Central (PMC) ID,PubMed ID,DOI,Affiliated author,Publisher,Journal,ISSN,Type of publication,Article title,Date of publication,Fund that APC is paid from (1),Fund that APC is paid from (2),Fund that APC is paid from (3),Funder of research (1),Funder of research (2),Funder of research (3),Grant ID (1),Grant ID (2),Grant ID (3),Date of APC payment,APC paid (actual currency) including VAT if charged,APC paid (actual currency) excluding VAT,VAT (actual currency),Currency of APC,APC paid (£) including VAT if charged,APC paid (£) excluding VAT,VAT (£),Additional publication costs (£),"Discounts, memberships & pre-payment agreements",Amount of APC charged to COAF grant (include VAT if charged) in £,Amount of APC charged to RCUK OA fund (include VAT if charged) in £,Licence,Correct license applied,Problem-free open access publication,Notes
,,Department of Chemistry,,,http://dx.doi.org/10.1039/C4CC10453F,J.Steed,Royal Society of Chemistry,Chemical Communications,,,,,Institutional,,,N/A,,,N/A,,,2015.06.11,,,,,,,,,,,,,,,
,,Department of Chemistry,,,10.1039/C5OB00245A,I.R.Baxendale,Royal Society of Chemistry,Organic & Biomolecular Chemistry,,,,,Institutional,,,N/A,,,N/A,,,2015.06.11,,,,,,,,,,,,,,,
,,Department of Chemistry,,,10.1039/C5GC00402K,G.Sandford,Royal Society of Chemistry,Green Chemistry,,,,,Institutional,,,N/A,,,N/A,,,2015.06.11,,,,,,,,,,,,,,,
,,Department of Chemistry,,,http://dx.doi.org/10.1039/C5TC00204D,M.A.Fox,Royal Society of Chemistry,Journal of Materials Chemistry C,,,,,Institutional,,,N/A,,,N/A,,,2015.06.11,,,,,,,,,,,,,,,
,,Department of Chemistry,,,10.1039/C5DT00255A,M.A.Fox,Royal Society of Chemistry,Dalton Transactions,,,,,Institutional,,,N/A,,,N/A,,,2015.06.11,,,,,,,,,,,,,,,
,,Department of Chemistry,,,10.1039/C5CE00653H,J.A.K.Howard,Royal Society of Chemistry,CrystEngComm,,,,,Institutional,,,N/A,,,N/A,,,2015.08.03,,,,,,,,,,,,,,,
2014.10.24,,Department of Geography,,,10.1093/gji/ggv327,M. Wolstencroft,Oxford University Press,Geophysical Journal International,1365-246X,Journal article/Review (Hybrid journal),Uplift rates from a new high-density GPS network in Palmer Land indicate significant late Holocene ice loss in the south western Weddell Sea,2015.09.04,RCUK,,,NERC,,,NE/F01452X/1,,,2015.08.07,1800,,,GBP,1800.00,,,,,,1800.00,CC BY,Yes,YES,
2014.06.19,,School of Engineering and Computing Sciences,,,10.1177/0957650915597560 ,C.J.Crabtree,Sage,"Proceedings of the Institution of Mechanical Engineers, Part A: Journal of Power and Energy",2041-2967,Journal article/Review (Hybrid journal),Wind Energy: UK Experiences and Offshore Operational Challenges,2015,RCUK,,,EPSRC,,,EP/H018662/1,,,2015.08.22,200,,,GBP,200.00,,,,Sage,,200.00,CC BY,Yes,YES,
2015.03.18,,Department of History,,,,B.Lambert,Wiley-Blackwell,Historical Research,1468-2281,Journal article/Review (Hybrid journal),"A Matter of Trust: The Royal Regulation of England's French Residents during Wartime, 1294-1377",,RCUK,,,AHRC,,,AH/I022767/1,,,2015.11.04,1500,,,GBP,1500.00,,,,Wiley,,1500.00,CC BY,Yes,YES,
2015.03.20,,School of Biological and Biomedical Sciences,,,10.1111/nph.13421,K.Lindsey,Wiley-Blackwell,New Phytologist,1469-8137,Journal article/Review (Hybrid journal),Spatiotemporal modelling of hormonal crosstalk explains the level and patterning of hormones and gene expression in Arabidopsis thaliana wildtype and mutant roots.,2015.04.23,RCUK,,,BBSRC,,,BB/F017138/1,,,2015.08.07,3000,,,USD,1500.00,,,,Wiley,,1500.00,CC BY,Yes,YES,
2015.03.31,,Department of Philosophy,,,10.3389/fpsyg.2015.01424,W.Hinzen,Frontiers,Frontiers in Psychology ,1664-1078,Journal article/Review (Full OA journal),The linguistic roots of Natural Pedagogy,2015.07.16,RCUK,,,AHRC,,,AH/L004070/1 ,,,2015.09.08,1425,,,USD,956.00,,,,,,956.00,CC BY,Yes,YES,
2015.04.13,,Department of Physics,,,10.1088/0953-4075/48/18/185001,M.A.Zentile,Institute of Physics,"Journal of Physics B: Atomic, Molecular and Optical Physics ",1361-6455,Journal article/Review (Hybrid journal),Optimisation of atomic Faraday filters in the presence of homogeneous line broadening,2015.08.11,RCUK,,,EPSRC,,,EP/L023024/1,,,2015.09.14,2040,,,GBP,2040.00,,,,,,2040.00,CC BY,Yes,YES,
2015.06.05,,Department of Physics,,,10.1103/PhysRevA.92.052706,K.A.Whittaker,American Physical Society,Physical Review A,1094-1622,Journal article/Review (Hybrid journal),Spectroscopic detection of atom-surface interactions in an atomic vapour layer with nanoscale thickness,2015.11.09,RCUK,,,EPSRC,,,EP/K502832/1,,,2015.10.13,1110.29,,,GBP,1110.29,,,,,,1110.29,CC BY,Yes,YES,
2015.06.12,,Department of Philosophy,,,10.3389/fpsyg.2015.00841,W.Hinzen,Frontiers,Frontiers in Psychology ,1664-1078,Journal article/Review (Full OA journal),The image of mind in the language of children with autism,2015.06.18,RCUK,,,AHRC,,,AH/H50009X/1 ,,,2015.08.17,250,,,USD,164.94,,,,,,164.94,CC BY,Yes,YES,
2015.06.25,,Department of Chemistry,,,10.1038/srep16798,J.P.Badyal,Nature Publishing,Scientific Reports,2045-2322,Journal article/Review (Full OA journal),Bioinspired Breathable Architecture for Water Harvesting,2015.11.18,RCUK,,,EPSRC,,,EP/J005401/1,,,2015.11.04,1188,,,GBP,1188.00,£990.00,,,,,1188.00,CC BY,Yes,YES,
2015.06.26,,Department of Physics,,,10.1117/1.JATIS.1.3.039002,A.G.Basden,SPIE,"Journal of Astronomical Telescopes, Instruments, and Systems",2329-4221,Journal article/Review (Hybrid journal),Analysis of EMCCD and sCMOS readout noise models for Shack-Hartmann wavefront sensor accuracy,2015.07.27,RCUK,,,STFC,,,ST/L00075X/1,,,2015.08.07,1000,,,USD,662.46,,,,,,662.46,CC BY,Yes,YES,
2015.07.07,,School of Biological and Biomedical Sciences + Department of Chemistry,,,10.1074/jbc.M115.669267,M.J.Cann,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,1083-351X,Journal article/Review (Hybrid journal),The role of protein-ligand contacts in allosteric regulation of the Escherichia coli Catabolite Activator Protein,2015.04.23,RCUK,,,EPSRC,,,EP/H051759/1,,,2015.08.10,2000,,,USD,1326.95,,,£863.84,,,1326.95,CC BY,Yes,YES,
2015.07.07,,Department of Geography,,,10.1016/j.epsl.2015.07.030,C.R.Stokes,Elsevier,Earth and Planetary Science Letters,0012-821X,Journal article/Review (Hybrid journal),Extensive MIS 3 glaciation in southernmost Patagonia revealed by cosmogenic nuclide dating of outwash sediments,2015.07.16,RCUK,,,NERC,,,NE/J500215/1,,,2015.08.07,3227.83,,,EUR,2351.44,"£1,923.06",,,,,2351.44,CC BY,Yes,YES,
2015.06.22,,School of Applied Social Sciences,,,10.1177/1012690214558284,S.Pope,Sage,International Review for the Sociology of Sport,1461-7218,Journal article/Review (Hybrid journal),"Female fan experiences and interpretations of the 1958 Munich air disaster, the 1966 World Cup finals and the rise of footballers as sexualised national celebrities",2015.08.25,RCUK,,,ESRC,,,PTA-030-2005-00310,,,2015.08.10,400,,,GBP,400.00,,,,Sage,,400.00,CC BY,Yes,YES,
2015.07.13,,Department of Geography,,,10.1177/1474474015575473,M.D.Finn,Sage,Cultural Geographies,1477-0881,Journal article/Review (Hybrid journal),Atmospheres of progress in a data-based school,2015,RCUK,,,ESRC,,,ES/I902112/1,,,2015.08.10,400,,,GBP,400.00,,,,Sage,,400.00,CC BY,Yes,YES,
2015.07.28,,Department of Geography,,,10.1002/jqs.2795,J.M.Lloyd,Wiley,Journal of Quaternary Science,1099-1417,Journal article/Review (Hybrid journal),"Lateglacial to Holocene relative sea-level changes in the Stykkishólmur area, northern Snæfellsnes, Iceland",2015.07.14,RCUK,,,NERC,,,NRCF010001,,,2015.08.07,1500,,,GBP,1500.00,,,,Wiley,,1500.00,CC BY,Yes,YES,
2015.08.04,,Department of Anthropology,,,10.1111/1467-9655.12287,D.Knight,Wiley-Blackwell,Journal of the Royal Anthropological Institute,1467-9655,Journal article/Review (Hybrid journal),"Sun, wind and the rebirth of extractive economies : renewable energy investment and metanarratives of the crisis in Greece",2015,RCUK,,,EPSRC,,,EP/J501323/1,,,2015.08.11,1500,,,GBP,1500.00,,,,Wiley,,1500.00,CC BY,Yes,YES,
2015.08.13,,"School of Medicine, Pharmacy and Health",,,10.1111/obr.12319,E.J.Henderson,Wiley-Blackwell,Obesity Reviews,1467-789X,Journal article/Review (Hybrid journal),Systematic review of the use of data from national childhood obesity surveillance programmes in primary care: A conceptual synthesis,2015.08.28,RCUK,,,MRC,,,MR/K02325X/1,,,2015.08.14,1500,,,GBP,1500.00,,,,Wiley,,1500.00,CC BY,Yes,YES,
2015.08.14,,Department of Chemistry,,,10.1039/C5CC04850H,M.Bryce,Royal Society of Chemistry,Chemical Communications,1364-548X,Journal article/Review (Hybrid journal),New AIE-active dinuclear Ir(III) complexes with reversible piezochromic phosphorescence behaviour,2015.07.16,RCUK,,,EPSRC,,,,,,2015.08.14,1423.32,,,GBP,1423.32,,,,RSC Gold4Gold,,1423.32,CC BY,Yes,YES,
2015.08.14,,Department of Chemistry,,,10.1039/C5RA10192A,J.A.Aguilar,Royal Society of Chemistry,RSC Advances,2046-2069,Journal article/Review (Hybrid journal),Ultra-high dispersion NMR reveals new levels of detail,2015.06.05,RCUK,,,EPSRC,,,EP/I007989/1 and EP/L018500/1,,,2015.08.14,1423.32,,,GBP,1423.32,,,,RSC Gold4Gold,,1423.32,CC BY,Yes,YES,
2015.08.14,,Department of Anthropology,,,10.1016/j.socscimed.2015.07.033,K.R.Hampshire,Elsevier,Social Science and Medicine,0277-9536,Journal article/Review (Hybrid journal),Informal m-health: How are young people using mobile phones to bridge healthcare gaps in Sub-Saharan Africa?,2015.08.03,RCUK,,,ESRC,,,ES/J018082/1,,,2015.08.24,3227.83,,,EUR,2433.12,,,,,,2433.12,CC BY,Yes,YES,
2015.08.14,,Department of Mathematical Sciences,,,0.1007/s00526-015-0935-x,S.Liu,Springer,Calculus of Variations and Partial Differential Equations,1432-0835,Journal article/Review (Hybrid journal),Frustration index and Cheeger inequalities for discrete and continuous magnetic Laplacians,2015.11.05,RCUK,,,EPSRC,,,EP/K016687/1,,,2015.11.30,2640,,,EUR,1921.69,,,,,,1921.69,CC BY,Yes,YES,
2015.08.11,,Department of Anthropology,,,10.1007/s10531-015-0989-2,R.A.Hill,Springer,Biodiversity and Conservation,0960-3115,Journal article/Review (Hybrid journal),"The impacts, characterisation and management of human-leopard conflict in a multi-use land system in South Africa.",2015.08.29,RCUK,,,ESRC,,,ES/I902147/1,,,2015.09.09,2640,,,EUR,1986.96,,,,,,1986.96,CC BY,Yes,YES,
2015.08.14,,School of Biological and Biomedical Sciences,,,10.1111/geb.12377,S.G.Willis,Wiley-Blackwell,Global Ecology and Biogeography,1466-8238,Journal article/Review (Hybrid journal),The drivers of avian abundance: patterns in the relative importance of climate and land use,2015.09.10,RCUK,,,NERC,,,NE/J500215/1,,,2015.08.18,1500,,,GBP,1500.00,,,,Wiley,,1500.00,CC BY,Yes,No,Contacted publisher to request licence correction
2015.08.18,,School of Engineering and Computing Sciences,,,10.1016/j.oceaneng.2015.07.033,G.L.Ingram,Elsevier,Ocean Engineering,0029-8018,Journal article/Review (Hybrid journal),The Impact of Diffuser Augmentation on a Tidal Stream Turbine,2015.07.16,RCUK,,,EPSRC,,,EP/P505488/1,,,2015.09.03,2689.86,,,EUR,2026.99,,,,,,2026.99,CC BY,Yes,YES,
2015.06.29,,Department of Physics,,,10.1002/advs.201500221,A.P.Monkman,Wiley,Advanced Science,2198-3844,Journal article/Review (Full OA journal),"Generating light from upper excited, TN, triplet states, which contributes to the indirect singlet yield of a polymer OLED, helping to exceed the 25% singlet exciton limit",2015.12.12,RCUK,,,EPSRC,,,EP/H051902/1 and EP/J015482/1,,,2015.08.20,2250,,,GBP,2250.00,,,,Wiley,,2250.00,CC BY,Yes,YES,
2015.09.01,,Department of Mathematical Sciences,,,,A.Lobb,London Mathematical Society,Proceedings of the London Mathematical Society,1460-244X,Journal article/Review (Hybrid journal),New Quantum Obstructions to Sliceness, ,RCUK,,,EPSRC,,,EP/K00591X/1,,,2015.10.29,2310,,,GBP,2310.00,"£1,925.00",,,,,2310.00,,,,
2015.08.12,,School of Biological and Biomedical Sciences + Department of Chemistry,,,10.1074/jbc.M115.672121,M.J.Cann,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,1083-351X,Journal article/Review (Hybrid journal),The Potato Nucleotide-Binding Leucine-Rich Repeat (NLR) Immune Receptor Rx1 is a Pathogen Dependent DNA-Deforming Protein,2015.04.23,RCUK,,,BBSRC,,,BB/M007405/1,,,2015.09.04,2000,,,USD,1355.40,,,1246.96,,,1355.40,CC BY,Yes,YES,
2015.09.07,,School of Education,,,10.1080/13645579.2015.1091235,S.A.C.Gorard,Taylor & Francis,International Journal of Social Research Methodology,1464-5300,Journal article/Review (Hybrid journal),What to do instead of significance testing? Calculating the ‘number of counterfactual cases needed to disturb a finding’,2015.10.06,RCUK,,,ESRC,,,ES/J01172X/2,,,2015.10.14,1609.2,,,GBP,1609.20,,,,Taylor & Francis,,1609.20,CC BY,Yes,YES,
2015.10.02,,Department of Chemistry,,,10.1039/C5OB02279G,S.L.Cobb,Royal Society of Chemistry,Organic and Biomolecular Chemistry,1477-0520,Journal article/Review (Hybrid journal),A practical method for the synthesis of peptoids containing both lysine-type and arginine-type monomers,2015.12.08,RCUK,,,EPSRC,,,EP/L504762/1,,,2015.12.09,1423.32,,,GBP,1423.32,,,,RSC Gold4Gold,,1423.32,CC BY,Yes,YES,
2015.10.21,,Department of Geography,,,10.1093/gji/ggv461 ,P.Whitehouse,Oxford University Press,Geophysical Journal International,1365-246X,Journal article/Review (Hybrid journal),Incomplete separability of Antarctic plate rotation from glacial isostatic adjustment deformation within geodetic observations,Jan-16,RCUK,,,NERC,,,NE/K009958/1,,,2015.10.29,1800,,,GBP,1800.00,"£1,500.00",,,,,1800.00,CC BY,Yes,YES,
2015.10.22,,Department of Chemistry,,,10.1002/poc.3399,A.O'Donoghue,Wiley,Journal of Physical Organic Chemistry,1099-1395,Journal article/Review (Hybrid journal),Proton transfer reactions of N-aryl triazolium salts: unusual ortho-substituent effects,Oct-14,RCUK,,,EPSRC,,,EP/L504762/1 + EP/G013268/1 ,,,2015.11.13,1500,,,GBP,1500.00,,,,Wiley,,1500.00,CC BY,Yes,No,Contacted publisher to request licence correction
2015.10.28,,School of Applied Social Sciences,,,10.1093/bjc/azv116,H.Bows,Oxford University Press,British Journal of Criminology,0007-0955,Journal article/Review (Hybrid journal),Rape of older people in the UK – Challenging the ‘real rape’ stereotypes,2015.10.30,RCUK,,,ESRC,,,ES/J500082/1,,,2015.10.30,2400,,,GBP,2400.00,"£2,000.00",,,,,2400.00,CC BY,Yes,No,Contacted publisher to request licence correction
2015.11.05,,Department of Psychology,,,,D.Sanderson,Elsevier,Behavioural Processes,0376-6357,Journal article/Review (Hybrid journal),The effect of the amount of blocking cue training on blocking of appetitive conditioning in mice,2015.11.10,RCUK,,,BBSRC,,,BB/M009440/1,,,2015.11.23,2356.31,,,EUR,1718.25,,,,,,1718.25,CC BY,Yes,YES,
2015.11.09,,Department of Anthropology,,,10.1080/00045608.2015.1100056,R.E.Porter,Taylor & Francis,Annals of the Association of American Geographers,0004-5608,Journal article/Review (Hybrid journal),"Mobilities in rural Africa: new connections, new challenges", ,RCUK,,,ESRC,,,ES/J018082/1,,,2015.11.18,1609.2,,,GBP,1609.20,,,,Taylor & Francis,,1609.20,,,,
2015.11.12,,Department of Chemistry,,,10.1016/j.cocis.2015.11.004,K.S.Coleman,Elsevier,Current Opinion in Colloid & Interface Science,1359-0294,Journal article/Review (Hybrid journal),A Manufacturing Perspective on Graphene Dispersions,2015.11.12,RCUK,,,EPSRC,,,EP/K016784/1,,,2015.11.19,4177.09,,,EUR,3024.28,,,,,,3024.28,CC BY,Yes,YES,
2015.11.13,,School of Engineering and Computing Sciences,,,10.1098/rspa.2015.0618 ,X.Mao,Royal Society,Proceedings A,1471-2946,Journal article/Review (Hybrid journal),Sensitivity of forces to wall transpiration in flow past an aerofoil,2015.12.16,RCUK,,,EPSRC,,,EP/M025039/1,,,2015.11.19,1530,,,GBP,1530.00,,,,,,1530.00,CC BY,Yes,YES,
2015.11.13,,Department of Chemistry,,,10.1039/C5DT02358K,D.Parker,Royal Society of Chemistry,Dalton Transactions,1477-9226,Journal article/Review (Hybrid journal),Chiral probe development for circularly polarised luminescence: comparative study of structural factors determining the degree of induced CPL with four heptacoordinate europium(III) complexes,2015.07.24,RCUK,,,EPSRC,,,,,,2015.11.13,1423.32,,,GBP,1423.32,,,,RSC Gold4Gold,,1423.32,CC BY,Yes,YES,
2015.11.13,,Department of Chemistry,,,10.1039/C5TC02162F,M.Bryce,Royal Society of Chemistry,Journal of Materials Chemistry C,2050-7526,Journal article/Review (Hybrid journal),High brightness deep blue / violet fluorescent polymer light-emitting diodes (PLEDs),2015.09.02,RCUK,,,EPSRC,,,,,,2015.11.13,1423.32,,,GBP,1423.32,,,,RSC Gold4Gold,,1423.32,CC BY,Yes,YES,
2015.11.13,,Department of Chemistry,,,10.1039/C5TC01638J,M.Bryce,Royal Society of Chemistry,Journal of Materials Chemistry C,2050-7526,Journal article/Review (Hybrid journal),Arylsilanes and siloxanes as optoelectronic materials for organic light-emitting diodes (OLEDs),2015.08.14,RCUK,,,EPSRC,,,,,,2015.11.13,1423.32,,,GBP,1423.32,,,,RSC Gold4Gold,,1423.32,CC BY,Yes,YES,
2015.11.06,,Department of Geography,,,10.1080/17450101.2015.1087680,N.Gregson,Taylor & Francis,Mobilities,1745-011X,Journal article/Review (Hybrid journal),"Logistics at work: trucks, containers and the friction of circulation in the UK",2015.10.15,RCUK,,,ESRC,,,ES/L003066/1,,,2015.11.16,1609.2,,,GBP,1609.20,,,,Taylor & Francis,,1609.20,CC BY,,No,Contacted publisher to request licence correction
2015.11.16,,Department of Chemistry,,,10.1039/C5OB01524C,L.K.Smith,Royal Society of Chemistry,Organic and Biomolecular Chemistry,1477-0539,Journal article/Review (Hybrid journal),Total Syntheses of Natural Products Containing Spirocarbocycles,2015.09.01,RCUK,,,EPSRC,,,,,,2015.11.16,1423.32,,,GBP,1423.32,,,,RSC Gold4Gold,,1423.32,CC BY,Yes,YES,
2015.11.17,,School of Biological and Biomedical Sciences,,,10.1074/jbc.M115.698589 ,M.J.Cann,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,1083-351X,Journal article/Review (Hybrid journal),The tomato Nucleotide-Binding Leucine-Rich Repeat (NLR) Immune Receptor I-2 couples DNA-Binding to Nucleotide-Binding Domain Nucleotide Exchange,2015.11.24,RCUK,,,BBSRC,,,BB/M007405/1,,,2015.12.14,2000,,,USD,1450.02,,,725.01,,,1450.02,,Yes,YES,
2015.11.16,,School of Engineering and Computing Sciences,,,10.1016/j.measurement.2015.10.030,Q.Wang,Elsevier,Measurement,0263-2241,Journal article/Review (Hybrid journal),Offshore wind turbine blades measurement using coherent laser radar,2015.10.30,RCUK,,,EPSRC,,,EP/1033246/1 and EP/K503368/1,,,2015.11.20,2570.52,,,EUR,1861.11,,,,,,1861.11,CC BY,Yes,YES,
2015.11.18,,Department of Earth Sciences,,,10.1016/j.envres.2015.11.020,C.Horwell,Elsevier,Environmental Research,0013-9351,Journal article/Review (Hybrid journal),The vitro respiratory toxicity of cristobalite-bearing volcanic ash,2015,RCUK,,,NERC,,,NE/C518081/2,,,2015.11.26,2231.35,,,EUR,1621.06,,,,,,1621.06,CC BY,Yes,YES,
2015.11.17,,Department of Chemistry,,,10.1039/C5CE01183C,P.Hodgkinson,Royal Society of Chemistry,CrystEngComm,1466-8033,Journal article/Review (Hybrid journal),A furosemide - isonicotinamide cocrystal: An investigation of properties and extensive structural disorder,2015.07.30,RCUK,,,EPSRC,,,,,,2015.11.19,1423.32,,,GBP,1423.32,,,,RSC Gold4Gold,,1423.32,CC BY,Yes,YES,
2015.11.20,,Department of Chemistry,,,10.1039/C5CC06995E,J.Steed,Royal Society of Chemistry,Chemical Communications,1359-7345,Journal article/Review (Hybrid journal),Gelation by supramolecular dimerization of mono(urea)s,2015.10.30,RCUK,,,EPSRC,,,EP/J013021/1,,,2015.11.20,1423.32,,,GBP,1423.32,,,,RSC Gold4Gold,,1423.32,CC BY,Yes,YES,
2015.11.27,,Department of Physics,,,10.1063/1.4937556,A.T.Hindmarch,American Institute of Physics,AIP Advances,2158-3226,Journal article/Review (Full OA journal),Interfacial Contribution to Thickness Dependent In-plane Anisotropic Magnetoresistance,2015,RCUK,,,EPSRC,,,EP/L000121/1,,,2015.12.01,895.02,,,GBP,895.02,,,,,,895.02,CC BY,Yes,YES,
2015.11.30,,School of Education,,,10.1136/bmjopen-2015-009318,P.B.Tymms,BMJ Publishing,BMJ Open ,2044-6055,Journal article/Review (Full OA journal),A clustered randomised controlled trial of two education interventions designed to increase physical activity and wellbeing of secondary school students: The MOVE Project, ,RCUK,,,ESRC,,,ES/J003492/1,,,2015.12.03,1620,,,GBP,1620.00,,,,,,1620.00,,Yes,YES,
2015.12.02,,Department of Chemistry,,,,M.A.Fox,Wiley,European Journal of Inorganic Chemistry,1009-0682,Journal article/Review (Hybrid journal),Substituent effects on the fluorescence properties of ortho-carboranes. Unusual emission behaviour in C-(2'-pyridyl)-ortho-carboranes, ,RCUK,,,EPSRC,,,EP/P505186/1,,,2015.12.09,1500,,,GBP,1500.00,,,,Wiley,,1500.00,CC BY,Yes,YES,
2015.11.10,,Department of Geography,,,,S.Jamieson,The Geological Society of America,Geology,1943-2682,Journal article/Review (Hybrid journal),"An extensive subglacial lake and canyon system in Princess Elizabeth Land, East Antarctica", ,RCUK,,,NERC,,,NE/J018333/1,,,2015.12.10,2500,,,USD,1704.23,,,,,,1704.23,,Yes,YES,
,,Department of Chemistry,,,10.1039/C5CE00653H,J.A.K.Howard,Royal Society of Chemistry,CrystEngComm,,,,,Institutional,,,N/A,,,N/A,,,2015.08.03,,,,,,,,,,,,,,,
,,Department of Chemistry,,,10.1039/C5DT02398J,A.M.Kenwright,Royal Society of Chemistry,Dalton Transactions,,,,,Institutional,,,N/A,,,N/A,,,2015.08.14,,,,,,,,,,,,,,,
,,Department of Chemistry,,,10.1039/C5TC01529D,J.A.G.Williams,Royal Society of Chemistry,Journal of Materials Chemistry C,,,,,Institutional,,,N/A,,,N/A,,,2015.08.20,,,,,,,,,,,,,,,
,,Department of Chemistry,,,10.1039/C5CC00453E,J.A.G.Williams,Royal Society of Chemistry,Chemical Communications,,,,,Institutional,,,N/A,,,N/A,,,2015.08.20,,,,,,,,,,,,,,,
,,Department of Chemistry,,,10.1039/C5CP03702F ,M.Wilson,Royal Society of Chemistry,Physical Chemistry Chemical Physics (PCCP),,,,,Institutional,,,N/A,,,N/A,,,2015.08.24,,,,,,,,,,,,,,,
,,Department of Chemistry,,,10.1039/C5DT00552C,J.A.G.Williams,Royal Society of Chemistry,Dalton Transactions,,,,,Institutional,,,N/A,,,N/A,,,2015.11.13,,,,,,,,,,,,,,,
,,Department of Chemistry,,,10.1039/C5CE00901D ,J.Steed,Royal Society of Chemistry,CrystEngComm,,,,,Institutional,,,N/A,,,N/A,,,2015.11.16,,,,,,,,,,,,,,,
,,Department of Chemistry,,,10.1039/C5GC02209F,G.Sandford,Royal Society of Chemistry,Green Chemistry,,,,,Institutional,,,N/A,,,N/A,,,2015.11.20,,,,,,,,,,,,,,,
,,Business School,,,10.1007/s11123-015-0460-0,R. Harris ,Springer,Journal of Productivity Analysis,,Journal article/Review (Hybrid journal),"The determinants of productivity in Chinese large and medium-sized industrial firms, 1998–2007",2015.10.24,Institutional,,,,,,,,,,,,,,,,,,Springer Compact,,,CCBY,Yes,YES,
,,Law School,,,10.1007/s40802-015-0041-y,J. M. Rooney ,Springer,Netherlands International Law review,,Journal article/Review (Hybrid journal),The Relationship between Jurisdiction and Attribution after Jaloud v. Netherlands,2015.11.05,Institutional,,,,,,,,,,,,,,,,,,Springer Compact,,,CCBY,Yes,YES,
,,Department of Physics,,,10.1007/s10704-015-0050-1,B. Tanner ,Springer,International Journal of Fracture,,Journal article/Review (Hybrid journal),The geometry of catastrophic fracture during high temperature processing of silicon,2015.11.03,Institutional,,,,,,,,,,,,,,,,,,Springer Compact,,,CCBY,Yes,YES,
,,Department of Philosophy,,,10.1007/s10677-015-9651-z,G. Scarre,Springer,Ethic Theory Moral Prac,,Journal article/Review (Hybrid journal),On Taking Back Forgiveness,2015.11.07,Institutional,,,,,,,,,,,,,,,,,,Springer Compact,,,CCBY,Yes,YES,
,,Department of Geography,,,10.1007/s41063-015-0007-7,A. J. Long,Springer,Arktos,,Journal article/Review (Hybrid journal),"Sedimentary evidence for a mid-Holocene iceberg-generated tsunami in a coastal lake, west Greenland",2015.11.20,Institutional,,,NERC,,,,,,,,,,,,,,,Springer Compact,,,CCBY,Yes,YES,
,,Department of Anthropology,,,10.1007/s10071-015-0936-3,T.Scott-Phillips,Springer,Animal Cognition,,Journal article/Review (Hybrid journal),Meaning in great ape communication: summarising the debate,2015.11.16,Institutional,,,ESRC,,,,,,,,,,,,,,,Springer Compact,,,CCBY,Yes,YES,
,,Department of Geography,,,10.1007/s41063-015-0003-y,K.Streuff,Springer,Arktos,,Journal article/Review (Hybrid journal),"Submarine landform assemblages and sedimentary processes related to glacier surging in Kongsfjorden, Svalbard",2015.11.21,Institutional,,,,,,,,,,,,,,,,,,Springer Compact,,,CCBY,Yes,YES,
,,Department of Psychology,,,10.1007/s00221-015-4507-2,J.Connolly,Springer,Experimental Brain Research,,Journal article/Review (Hybrid journal),Coding of attention across the human intraparietal sulcus,2015.12.16,Institutional,,,,,,,,,,,,,,,,,,Springer Compact,,,CCBY,Yes,YES,
,,School of Engineering and Computing Sciences,,,10.1007/s00373-015-1660-0,K.K. Dabrowski,Springer,Graphs and Combinatorics,,Journal article/Review (Hybrid journal),Combinatorics and Algorithms for Augmenting Graphs,2015.12.23,Institutional,,,EPSRC,,,,,,,,,,,,,,,Springer Compact,,,CCBY,Yes,YES,
